domain,size,members,mean_acc,mean_rho,n_eff,evidence,plurality_acc,n_items,strict_acc,n_items_strict
science,3,bytedance_seed+claude_sonnet+deepseek_v4,0.8985185185185185,0.559471401185034,1.415800368298973,6.198509306936245,0.9006666666666667,250,0.930930930930931,222
science,3,bytedance_seed+claude_sonnet+gemini_pro,0.8613565372601517,0.46998701584795394,1.546412452427225,6.222496907837657,0.8986666666666666,250,0.9159779614325069,242
science,3,bytedance_seed+claude_sonnet+glm_46,0.8844683393070488,0.5281316004318519,1.458957199029722,6.175279530190713,0.8933333333333334,250,0.9242424242424241,154
science,3,bytedance_seed+claude_sonnet+gpt5_mini,0.9018518518518518,0.5178612913849571,1.4736782041873497,6.506579272003455,0.9100000000000001,250,0.9424083769633509,191
science,3,bytedance_seed+claude_sonnet+kimi_k2,0.8978177347471953,0.5489808779720282,1.4299593362463547,6.249542221308833,0.912,250,0.9246861924686193,239
science,3,bytedance_seed+claude_sonnet+qwen_3,0.898079561042524,0.6196007104883076,1.3397633512985032,5.859174659444659,0.918,250,0.9333333333333333,240
science,3,bytedance_seed+deepseek_v4+gemini_pro,0.8672824631860777,0.48355524413344897,1.5250795610586767,6.213732628655238,0.8946666666666667,250,0.9226190476190477,224
science,3,bytedance_seed+deepseek_v4+glm_46,0.8903942652329748,0.5164749296033099,1.4756881417482581,6.333652381313056,0.8873333333333334,250,0.9422222222222221,150
science,3,bytedance_seed+deepseek_v4+gpt5_mini,0.9077777777777777,0.5704516064751673,1.4012777326191042,6.283361672693671,0.912,250,0.9562841530054644,183
science,3,bytedance_seed+deepseek_v4+kimi_k2,0.9037436606731212,0.513649320976001,1.4798017114594544,6.565518385452524,0.912,250,0.9369369369369369,222
science,3,bytedance_seed+deepseek_v4+qwen_3,0.9040054869684498,0.6640392390568605,1.2886163538742432,5.721158906614119,0.9073333333333333,250,0.933933933933934,222
science,3,bytedance_seed+gemini_pro+glm_46,0.8532322839746082,0.47777476440277705,1.5340956369601104,6.071038093959256,0.8513333333333334,250,0.9177489177489176,154
science,3,bytedance_seed+gemini_pro+gpt5_mini,0.8706157965194109,0.47091652111897714,1.544931997110582,6.339843274778457,0.8793333333333334,250,0.9284467713787086,191
science,3,bytedance_seed+gemini_pro+kimi_k2,0.8665816794147544,0.44633178286108155,1.5850677607646146,6.448517675665056,0.9,250,0.9125,240
science,3,bytedance_seed+gemini_pro+qwen_3,0.8668435057100831,0.5748956707458309,1.3954842696121426,5.680399590007933,0.9,250,0.9090909090909091,242
science,3,bytedance_seed+glm_46+gpt5_mini,0.8937275985663082,0.5371696182719262,1.446243674683815,6.257346784453716,0.8806666666666666,250,0.9333333333333332,140
science,3,bytedance_seed+glm_46+kimi_k2,0.8896934814616517,0.5433627224780141,1.437659183795124,6.160137499839607,0.8946666666666667,250,0.9324618736383442,153
science,3,bytedance_seed+glm_46+qwen_3,0.8899553077569804,0.6276611130820875,1.3301868642967103,5.703188480114721,0.8960000000000001,250,0.9225806451612903,155
science,3,bytedance_seed+gpt5_mini+kimi_k2,0.9070769940064546,0.5175515225014481,1.4741268297771777,6.597720934727473,0.9046666666666667,250,0.9305555555555555,192
science,3,bytedance_seed+gpt5_mini+qwen_3,0.9073388203017833,0.6611083930743918,1.2918690528351866,5.786011367956041,0.9073333333333333,250,0.9288194444444445,192
science,3,bytedance_seed+kimi_k2+qwen_3,0.9033047031971267,0.5935418383209887,1.371689630369408,6.078944017380063,0.9066666666666668,250,0.9152777777777779,240
science,3,claude_sonnet+deepseek_v4+gemini_pro,0.863578759482374,0.43719339719063094,1.6005234399820367,6.4702155983772895,0.882,250,0.9276018099547512,221
science,3,claude_sonnet+deepseek_v4+glm_46,0.8866905615292712,0.4947068214342023,1.507982018095793,6.415857533805195,0.8733333333333334,250,0.9355555555555555,150
science,3,claude_sonnet+deepseek_v4+gpt5_mini,0.904074074074074,0.5155548518907436,1.477025093432742,6.558817937449089,0.888,250,0.9505494505494505,182
science,3,claude_sonnet+deepseek_v4+kimi_k2,0.9000399569694175,0.49634614572221275,1.5055008808336465,6.61651558356361,0.8886666666666666,250,0.9303030303030303,220
science,3,claude_sonnet+deepseek_v4+qwen_3,0.9003017832647462,0.5991065948629104,1.3647447909154728,6.0018839336153675,0.89,250,0.9363636363636364,220
science,3,claude_sonnet+gemini_pro+glm_46,0.8495285802709045,0.44759310731895585,1.5829579050484865,6.218069180470931,0.8486666666666668,250,0.9259259259259258,153
science,3,claude_sonnet+gemini_pro+gpt5_mini,0.8669120928157072,0.4076062176198396,1.6526991231215769,6.728389820517058,0.8693333333333334,250,0.9333333333333333,190
science,3,claude_sonnet+gemini_pro+kimi_k2,0.8628779757110507,0.4206150586925794,1.6293454966185756,6.577059446071371,0.8933333333333334,250,0.9173669467787116,238
science,3,claude_sonnet+gemini_pro+qwen_3,0.8631398020063794,0.5015494776371673,1.497679379294137,6.04888932894754,0.886,250,0.9121338912133892,239
science,3,claude_sonnet+glm_46+gpt5_mini,0.8900238948626046,0.4984530535464991,1.5023240148067145,6.442280520539429,0.8653333333333334,250,0.9309523809523809,140
science,3,claude_sonnet+glm_46+kimi_k2,0.8859897777579481,0.5422397370832225,1.4392082230503418,6.113241118226389,0.884,250,0.9281045751633987,153
science,3,claude_sonnet+glm_46+qwen_3,0.8862516040532767,0.5789086587471343,1.3902937823687977,5.909077391989675,0.8780000000000001,250,0.9155844155844156,154
science,3,claude_sonnet+gpt5_mini+kimi_k2,0.9033732903027508,0.4832998906913402,1.5254756094250936,6.761678622307543,0.8906666666666666,250,0.9354275741710296,191
science,3,claude_sonnet+gpt5_mini+qwen_3,0.9036351165980795,0.5792272923241223,1.3898833087974836,6.164839048073983,0.8873333333333334,250,0.9284467713787086,191
science,3,claude_sonnet+kimi_k2+qwen_3,0.899600999493423,0.5492543169013547,1.4295866844082012,6.27591936338142,0.8966666666666666,250,0.92296918767507,238
science,3,deepseek_v4+gemini_pro+glm_46,0.8554545061968303,0.4440213165616759,1.588947170666988,6.316483209873108,0.8413333333333334,250,0.9418344519015659,149
science,3,deepseek_v4+gemini_pro+gpt5_mini,0.8728380187416332,0.46828141278131213,1.5491364186072394,6.387883934209805,0.8713333333333333,250,0.9468864468864467,182
science,3,deepseek_v4+gemini_pro+kimi_k2,0.8688039016369767,0.39336838176781463,1.6790386033494615,6.86332026538222,0.8853333333333333,250,0.9200603318250377,221
science,3,deepseek_v4+gemini_pro+qwen_3,0.8690657279323054,0.5540728862769823,1.4230514981730022,5.82020645620618,0.886,250,0.9230769230769231,221
science,3,deepseek_v4+glm_46+gpt5_mini,0.8959498207885304,0.5339033495939344,1.4508125934490157,6.311376752483546,0.836,250,0.9565217391304348,138
science,3,deepseek_v4+glm_46+kimi_k2,0.8919157036838739,0.48976816104442045,1.515506417601041,6.528323896861517,0.87,250,0.9395973154362416,149
science,3,deepseek_v4+glm_46+qwen_3,0.8921775299792025,0.606207168272912,1.355984704331563,5.844841400248133,0.8733333333333334,250,0.9355555555555555,150
science,3,deepseek_v4+gpt5_mini+kimi_k2,0.9092992162286767,0.4950753005712906,1.5074236081820371,6.7869227390467834,0.886,250,0.9453551912568307,183
science,3,deepseek_v4+gpt5_mini+qwen_3,0.9095610425240054,0.6707727877686525,1.2812050430885173,5.772484144559404,0.888,250,0.9398907103825137,183
science,3,deepseek_v4+kimi_k2+qwen_3,0.9055269254193489,0.5528779402596475,1.4246665664113818,6.350346821360195,0.886,250,0.9230769230769231,221
science,3,gemini_pro+glm_46+gpt5_mini,0.8587878395301636,0.4767389354595779,1.535722541145773,6.146703424687011,0.8166666666666667,250,0.9328537170263789,139
science,3,gemini_pro+glm_46+kimi_k2,0.8547537224255071,0.46482129415133455,1.5546920544694378,6.171516762546151,0.85,250,0.9276315789473685,152
science,3,gemini_pro+glm_46+qwen_3,0.8550155487208357,0.5594342711837164,1.415849987865727,5.623356496474939,0.8513333333333333,250,0.9177489177489176,154
science,3,gemini_pro+gpt5_mini+kimi_k2,0.8721372349703099,0.4092935135225472,1.6496323548917577,6.791889142451214,0.88,250,0.93717277486911,191
science,3,gemini_pro+gpt5_mini+qwen_3,0.8723990612656386,0.5631649705237992,1.4108816990659327,5.812217184687055,0.8706666666666667,250,0.9197207678883073,191
science,3,gemini_pro+kimi_k2+qwen_3,0.8683649441609821,0.47748767025606487,1.5345462102934317,6.266784848509612,0.896,250,0.9121338912133892,239
science,3,glm_46+gpt5_mini+kimi_k2,0.8952490370172073,0.5390267044822411,1.443658756343002,6.269435722742727,0.864,250,0.9428571428571428,140
science,3,glm_46+gpt5_mini+qwen_3,0.8955108633125359,0.6486326642028171,1.305900525683763,5.6748375102901125,0.8666666666666666,250,0.9333333333333332,140
science,3,glm_46+kimi_k2+qwen_3,0.8914767462078794,0.5937332063990662,1.3714496288711022,5.901539015017295,0.8813333333333333,250,0.9302832244008713,153
science,3,gpt5_mini+kimi_k2+qwen_3,0.9088602587526823,0.5785109490463832,1.3908064645299116,6.254487243959294,0.892,250,0.9322916666666666,192
